semmeddb ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
leftFisher,0.7965,29,,leftFisher,29,29,,leftFisher,0.7965,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6628,392,,ll,0.2303,401,,ll,0.6782,392,,ll,0.2210,401,,
x2,0.6693,392,,x2,0.4079,401,,x2,0.6890,392,,x2,0.3849,401,,
dice,0.6692,392,,dice,0.3548,401,,dice,0.5660,392,,dice,0.3229,401,,
odds,0.6705,392,,odds,0.3181,401,,odds,0.6876,392,,odds,0.2979,401,,
leftFisher,0.6588,392,,leftFisher,0.0899,401,,leftFisher,0.6659,392,,leftFisher,0.0769,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5778,418,,ll,0.2228,430,,ll,0.5824,418,,ll,0.2178,430,,
x2,0.5720,418,,x2,0.2954,430,,x2,0.5771,418,,x2,0.2797,430,,
dice,0.5692,418,,dice,0.2528,430,,dice,0.5709,418,,dice,0.2380,430,,
odds,0.5599,418,,odds,0.1779,430,,odds,0.5627,418,,odds,0.1628,430,,
leftFisher,0.5900,418,,leftFisher,0.0467,430,,leftFisher,0.5924,418,,leftFisher,0.0467,430,,


1975_2015_window1 No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7706,29,,ll,0.5680,29,,ll,0.7811,29,,ll,0.5478,29,,
x2,0.7473,29,,x2,0.5501,29,,x2,0.7570,29,,x2,0.5922,29,,
dice,0.7731,29,,dice,0.4163,29,,dice,0.7773,29,,dice,0.4439,29,,
odds,0.7192,29,,odds,0.1943,29,,odds,0.7229,29,,odds,0.2207,29,,
leftFisher,0.7709,29,,leftFisher,29,29,,leftFisher,0.7081,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8043,29,,ll,0.5591,29,,ll,0.8109,29,,ll,0.5383,29,,
x2,0.7999,29,,x2,0.5818,29,,x2,0.8093,29,,x2,0.6181,29,,
dice,0.7957,29,,dice,0.4767,29,,dice,0.7961,29,,dice,0.5043,29,,
odds,0.7342,29,,odds,0.1852,29,,odds,0.7456,29,,odds,0.2340,29,,
leftFisher,0.7208,29,,leftFisher,29,29,,leftFisher,0.7072,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6861,392,,ll,0.2632,401,,ll,0.6888,392,,ll,0.2546,401,,
x2,0.6954,392,,x2,0.4386,401,,x2,0.7034,392,,x2,0.4173,401,,
dice,0.6914,392,,dice,0.3797,401,,dice,0.5539,392,,dice,0.3480,401,,
odds,0.6983,392,,odds,0.3325,401,,odds,0.7109,392,,odds,0.3433,401,,
leftFisher,0.6745,392,,leftFisher,0.0801,401,,leftFisher,0.6822,392,,leftFisher,0.0801,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6079,418,,ll,0.2412,430,,ll,0.5939,418,,ll,0.2374,430,,
x2,0.6030,418,,x2,0.3148,430,,x2,0.5927,418,,x2,0.3023,430,,
dice,0.4305,418,,dice,0.2701,430,,dice,0.5817,418,,dice,0.2568,430,,
odds,0.5912,418,,odds,0.2037,430,,odds,0.5843,418,,odds,0.2019,430,,
leftFisher,0.6267,418,,leftFisher,0.0467,430,,leftFisher,0.6201,418,,leftFisher,0.0467,430,,



1809_2015_window1 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7801,29,,ll,0.5049,29,,ll,0.7911,29,,ll,0.5008,29,,
x2,0.7436,29,,x2,0.5049,29,,x2,0.7583,29,,x2,0.5475,29,,
dice,0.7906,29,,dice,0.3788,29,,dice,0.7992,29,,dice,0.4124,29,,
odds,0.7182,29,,odds,0.1103,29,,odds,0.7565,29,,odds,0.1065,29,,
leftFisher,0.8193,29,,leftFisher,29,29,,leftFisher,0.7708,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8322,29,,ll,0.4985,29,,ll,0.8320,29,,ll,0.4857,29,,
x2,0.8002,29,,x2,0.5248,29,,x2,0.8160,29,,x2,0.5573,29,,
dice,0.8192,29,,dice,0.4214,29,,dice,0.8282,29,,dice,0.4479,29,,
odds,0.7428,29,,odds,0.1144,29,,odds,0.7745,29,,odds,0.1171,29,,
leftFisher,0.7932,29,,leftFisher,29,29,,leftFisher,0.7677,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6681,392,,ll,0.2308,401,,ll,0.6796,392,,ll,0.2224,401,,
x2,0.6754,392,,x2,0.4127,401,,x2,0.6903,392,,x2,0.3902,401,,
dice,0.6736,392,,dice,0.3584,401,,dice,0.5583,392,,dice,0.3239,401,,
odds,0.6756,392,,odds,0.3171,401,,odds,0.6885,392,,odds,0.2993,401,,
leftFisher,0.6630,392,,leftFisher,0.0899,401,,leftFisher,0.6647,392,,leftFisher,0.0769,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5791,418,,ll,0.2217,430,,ll,0.5873,418,,ll,0.2182,430,,
x2,0.5734,418,,x2,0.2974,430,,x2,0.5818,418,,x2,0.2815,430,,
dice,0.5697,418,,dice,0.2540,430,,dice,0.4395,418,,dice,0.2377,430,,
odds,0.5611,418,,odds,0.1664,430,,odds,0.5680,418,,odds,0.1525,430,,
leftFisher,0.5892,418,,leftFisher,0.0648,430,,leftFisher,0.5936,418,,leftFisher,0.0648,430,,


1809_2015_window1 No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7772,29,,ll,0.5680,29,,ll,0.7767,29,,ll,0.5545,29,,
x2,0.7533,29,,x2,0.5501,29,,x2,0.7570,29,,x2,0.5902,29,,
dice,0.7731,29,,dice,0.4194,29,,dice,0.7777,29,,dice,0.4411,29,,
odds,0.7239,29,,odds,0.2121,29,,odds,0.7326,29,,odds,0.2323,29,,
leftFisher,0.7709,29,,leftFisher,29,29,,leftFisher,0.7585,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8063,29,,ll,0.5566,29,,ll,0.8071,29,,ll,0.5358,29,,
